TIME_MS,MODE,TARGET,YAW,OUTPUT,KP,KI,KD
0,1,0.0,0.0,1000.0,8.0,0.1,1.5
10,1,0.0,-555.5407795452224,2000.0,8.0,0.1,1.5
20,1,0.0,61.75662718539816,1000.0,8.0,0.1,1.5
30,1,0.0,-500.6467047107601,2000.0,8.0,0.1,1.5
40,1,0.0,110.54804990430593,1000.0,8.0,0.1,1.5
50,1,0.0,-457.28217151732974,2000.0,8.0,0.1,1.5
60,1,0.0,149.0868734778462,1000.0,8.0,0.1,1.5
70,1,0.0,-423.0340118905101,2000.0,8.0,0.1,1.5
80,1,0.0,179.52073106227866,1000.0,8.0,0.1,1.5
90,1,0.0,-395.9902239808763,2000.0,8.0,0.1,1.5
100,1,0.0,203.55230668939151,1000.0,8.0,0.1,1.5
110,1,0.0,-374.6343311167175,2000.0,8.0,0.1,1.5
120,1,0.0,222.53214612715948,1000.0,8.0,0.1,1.5
130,1,0.0,-357.7639241752266,2000.0,8.0,0.1,1.5
140,1,0.0,237.5301671071417,1000.0,8.0,0.1,1.5
150,1,0.0,-344.42776904298347,2000.0,8.0,0.1,1.5
160,1,0.0,249.39117618102472,1000.0,8.0,0.1,1.5
170,1,0.0,-333.8765268128128,2000.0,8.0,0.1,1.5
180,1,0.0,258.77892970566984,1000.0,8.0,0.1,1.5
190,1,0.0,-325.5230294504209,2000.0,8.0,0.1,1.5
200,1,0.0,266.2122557377203,1000.0,8.0,0.1,1.5
210,1,0.0,-318.90918018263784,2000.0,8.0,0.1,1.5
220,1,0.0,272.09555851025385,1000.0,8.0,0.1,1.5
230,1,0.0,-313.6777611743778,2000.0,8.0,0.1,1.5
240,1,0.0,276.7448539153283,1000.0,8.0,0.1,1.5
250,1,0.0,-309.54850398148494,2000.0,8.0,0.1,1.5
260,1,0.0,280.40956807364773,1000.0,8.0,0.1,1.5
270,1,0.0,-306.2984913704542,2000.0,8.0,0.1,1.5
280,1,0.0,283.28985362451874,1000.0,8.0,0.1,1.5
290,1,0.0,-303.7471860459499,2000.0,8.0,0.1,1.5
300,1,0.0,285.54919747319184,1000.0,8.0,0.1,1.5
310,1,0.0,-301.7461403464427,2000.0,8.0,0.1,1.5
320,1,0.0,287.32251648972283,1000.0,8.0,0.1,1.5
330,1,0.0,-300.172892057992,2000.0,8.0,0.1,1.5
340,1,0.0,288.7205482537953,1000.0,8.0,0.1,1.5
350,1,0.0,-298.9279474651764,2000.0,8.0,0.1,1.5
360,1,0.0,289.8318752532275,1000.0,8.0,0.1,1.5
370,1,0.0,-297.9333524607606,2000.0,8.0,0.1,1.5
380,1,0.0,290.7241448347386,1000.0,8.0,0.1,1.5
390,1,0.0,-297.1313336138433,2000.0,8.0,0.1,1.5
400,1,0.0,291.44585185663567,1000.0,8.0,0.1,1.5
410,1,0.0,-296.4818900317589,2000.0,8.0,0.1,1.5
420,1,0.0,292.0294780926361,1000.0,8.0,0.1,1.5
430,1,0.0,-295.9589178866875,2000.0,8.0,0.1,1.5
440,1,0.0,292.4960111347181,1000.0,8.0,0.1,1.5
450,1,0.0,-295.54522637068777,2000.0,8.0,0.1,1.5
460,1,0.0,292.86014870168077,1000.0,8.0,0.1,1.5
470,1,0.0,-295.2273999365995,2000.0,8.0,0.1,1.5
480,1,0.0,293.1350691945725,1000.0,8.0,0.1,1.5
490,1,0.0,-294.99168038666954,2000.0,8.0,0.1,1.5
500,1,0.0,293.3356541891397,1000.0,8.0,0.1,1.5
510,1,0.0,-294.8218164850041,2000.0,8.0,0.1,1.5
520,1,0.0,293.47947344824996,1000.0,8.0,0.1,1.5
530,1,0.0,-294.69924447072657,2000.0,8.0,0.1,1.5
540,1,0.0,293.58553308587307,1000.0,8.0,0.1,1.5
550,1,0.0,-294.6052299913913,2000.0,8.0,0.1,1.5
560,1,0.0,293.6714965600784,1000.0,8.0,0.1,1.5
570,1,0.0,-294.5239811064696,2000.0,8.0,0.1,1.5
580,1,0.0,293.7505644921184,1000.0,8.0,0.1,1.5
590,1,0.0,-294.4454536014746,2000.0,8.0,0.1,1.5
600,1,0.0,293.8292733230081,1000.0,8.0,0.1,1.5
610,1,0.0,-294.3667174869509,2000.0,8.0,0.1,1.5
620,1,0.0,293.90711615471804,1000.0,8.0,0.1,1.5
630,1,0.0,-294.29128789867207,2000.0,8.0,0.1,1.5
640,1,0.0,293.9782243837189,1000.0,8.0,0.1,1.5
